 C_Mass(GeV)   N_Mass(GeV)     tau(ns)    Init_xs(fb)      EAxEE          TAxTE         EAxEExTAxTE      total_eff     xs100(fb)     xslim(fb)         Ntr          r       MCev 
   500.235     500.062         0.200      52.734      9.6895e-02      2.9550e-02      2.8632e-03      2.3955e-03    1.263e-01     9.184e+01       4.56e+00    5.74e-01    1581628 
   500.235     500.062         0.250      52.734      9.6895e-02      4.1334e-02      4.0051e-03      3.3467e-03    1.765e-01     6.574e+01       6.37e+00    8.02e-01    2214440 
   500.235     500.062         0.300      52.734      9.6895e-02      5.1761e-02      5.0154e-03      4.1862e-03    2.208e-01     5.255e+01       7.97e+00    1.00e+00    2802873 
   500.235     500.062         0.400      52.734      9.6895e-02      6.8033e-02      6.5921e-03      5.4957e-03    2.898e-01     4.003e+01       1.05e+01    1.32e+00    3819598 
   500.235     500.062         0.500      52.734      9.6895e-02      7.9057e-02      7.6603e-03      6.3796e-03    3.364e-01     3.448e+01       1.21e+01    1.53e+00    4630580 
   500.235     500.062         0.600      52.734      9.6895e-02      8.6307e-02      8.3627e-03      6.9574e-03    3.669e-01     3.162e+01       1.32e+01    1.67e+00    5278006 
   500.235     500.062         0.700      52.734      9.6895e-02      9.0707e-02      8.7890e-03      7.3044e-03    3.852e-01     3.012e+01       1.39e+01    1.75e+00    5797693 
   500.235     500.062         0.800      52.734      9.6895e-02      9.3292e-02      9.0396e-03      7.5057e-03    3.958e-01     2.931e+01       1.43e+01    1.80e+00    6217204 
   500.235     500.062         0.900      52.734      9.6895e-02      9.4538e-02      9.1603e-03      7.5984e-03    4.007e-01     2.895e+01       1.45e+01    1.82e+00    6561072 
   500.235     500.062         1.000      52.734      9.6895e-02      9.4918e-02      9.1971e-03      7.6204e-03    4.019e-01     2.887e+01       1.45e+01    1.83e+00    6848601 
   500.235     500.062         1.500      52.734      9.6895e-02      9.0217e-02      8.7416e-03      7.2024e-03    3.798e-01     3.055e+01       1.37e+01    1.73e+00    7739494 
   500.235     500.062         2.000      52.734      9.6895e-02      8.2395e-02      7.9837e-03      6.5448e-03    3.451e-01     3.361e+01       1.25e+01    1.57e+00    8168734 
